close_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2018-01-07,1,51,11,3
2018-01-14,5,50,10,2
2018-01-21,3,49,9,1
2018-01-28,1,48,8,0
2018-02-04,3,47,7,3
2018-02-11,3,46,6,2
2018-02-18,6,45,5,1
2018-02-25,1,44,4,0
2018-03-04,4,43,3,3
2018-03-11,4,42,2,2
2018-03-18,1,41,1,1
2018-03-25,6,40,0,0
2018-04-01,4,39,12,4
2018-04-08,5,38,11,3
2018-04-15,5,37,10,2
2018-04-22,4,36,9,1
2018-04-29,1,35,8,0
2018-05-06,4,34,7,3
2018-05-13,2,33,6,2
2018-05-20,5,32,5,1
2018-05-27,4,31,4,0
2018-06-03,1,30,3,3
2018-06-10,7,29,2,2
2018-06-17,5,28,1,1
2018-06-24,4,27,0,0
2018-07-01,6,26,13,4
2018-07-08,1,25,12,3
2018-07-15,3,24,11,2
2018-07-22,1,23,10,1
2018-07-29,5,22,9,0
2018-08-05,3,21,8,3
2018-08-12,2,20,7,2
2018-08-19,3,19,6,1
2018-08-26,7,18,5,0
2018-09-02,8,17,4,4
2018-09-09,2,16,3,3
2018-09-16,8,15,2,2
2018-09-23,7,14,1,1
2018-09-30,7,13,0,0
2018-10-07,7,12,12,3
2018-10-14,5,11,11,2
2018-10-21,4,10,10,1
2018-10-28,4,9,9,0
2018-11-04,8,8,8,3
2018-11-11,2,7,7,2
2018-11-18,8,6,6,1
2018-11-25,4,5,5,0
2018-12-02,7,4,4,4
2018-12-09,11,3,3,3
2018-12-16,7,2,2,2
2018-12-23,13,1,1,1
2018-12-30,3,0,0,0
2019-01-06,3,51,12,3
2019-01-13,4,50,11,2
2019-01-20,4,49,10,1
2019-01-27,3,48,9,0
2019-02-03,3,47,8,3
2019-02-10,7,46,7,2
2019-02-17,7,45,6,1
2019-02-24,1,44,5,0
2019-03-03,7,43,4,4
2019-03-10,14,42,3,3
2019-03-17,5,41,2,2
2019-03-24,9,40,1,1
2019-03-31,8,39,0,0
2019-04-07,10,38,12,3
2019-04-14,5,37,11,2
2019-04-21,4,36,10,1
2019-04-28,3,35,9,0
2019-05-05,16,34,8,3
2019-05-12,6,33,7,2
2019-05-19,11,32,6,1
2019-05-26,9,31,5,0
2019-06-02,8,30,4,4
2019-06-09,5,29,3,3
2019-06-16,5,28,2,2
2019-06-23,8,27,1,1
2019-06-30,11,26,0,0
2019-07-07,4,25,12,3
2019-07-14,1,24,11,2
2019-07-21,2,23,10,1
2019-07-28,6,22,9,0
2019-08-04,3,21,8,3
2019-08-11,9,20,7,2
2019-08-18,3,19,6,1
2019-08-25,21,18,5,0
2019-09-01,14,17,4,4
2019-09-08,17,16,3,3
2019-09-15,7,15,2,2
2019-09-22,16,14,1,1
2019-09-29,22,13,0,0
2019-10-06,30,12,12,3
2019-10-13,15,11,11,2
2019-10-20,7,10,10,1
2019-10-27,10,9,9,0
2019-11-03,12,8,8,3
2019-11-10,8,7,7,2
2019-11-17,6,6,6,1
2019-11-24,9,5,5,0
2019-12-01,8,4,4,4
2019-12-08,15,3,3,3
2019-12-15,16,2,2,2
2019-12-22,10,1,1,1
2019-12-29,6,0,0,0
2020-01-05,12,51,12,3
2020-01-12,16,50,11,2
2020-01-19,13,49,10,1
2020-01-26,12,48,9,0
2020-02-02,18,47,8,3
2020-02-09,15,46,7,2
2020-02-16,8,45,6,1
2020-02-23,9,44,5,0
2020-03-01,11,43,4,4
2020-03-08,14,42,3,3
2020-03-15,16,41,2,2
2020-03-22,19,40,1,1
2020-03-29,7,39,0,0
2020-04-05,9,38,12,3
2020-04-12,11,37,11,2
2020-04-19,13,36,10,1
2020-04-26,11,35,9,0
2020-05-03,3,34,8,4
2020-05-10,9,33,7,3
2020-05-17,27,32,6,2
2020-05-24,10,31,5,1
2020-05-31,8,30,4,0
2020-06-07,11,29,3,3
2020-06-14,16,28,2,2
2020-06-21,7,27,1,1
2020-06-28,16,26,0,0
2020-07-05,35,25,12,3
2020-07-12,6,24,11,2
2020-07-19,12,23,10,1
2020-07-26,12,22,9,0
2020-08-02,14,21,8,4
2020-08-09,5,20,7,3
2020-08-16,10,19,6,2
2020-08-23,6,18,5,1
